iter	Passed	Remaining
455	920	3215
456	922	3212
457	924	3211
458	927	3209
459	929	3207
460	931	3206
461	933	3205
462	935	3203
463	937	3202
464	940	3200
465	942	3198
466	944	3196
467	946	3194
468	948	3193
469	950	3191
470	952	3189
471	954	3187
472	956	3185
473	958	3183
474	960	3181
475	962	3180
476	964	3177
477	966	3175
478	969	3174
479	970	3171
480	972	3168
481	974	3166
482	976	3164
483	979	3165
484	981	3163
485	983	3162
486	985	3159
487	987	3158
488	989	3156
489	992	3154
490	994	3152
491	996	3151
492	998	3149
493	1000	3148
494	1002	3145
495	1004	3143
496	1006	3141
497	1008	3139
498	1010	3137
499	1012	3136
500	1014	3133
501	1016	3131
502	1019	3130
503	1021	3127
504	1022	3125
505	1024	3122
506	1026	3120
507	1028	3118
508	1030	3116
509	1032	3114
510	1034	3112
511	1036	3110
512	1038	3108
513	1040	3106
514	1042	3104
515	1044	3101
516	1046	3099
517	1048	3097
518	1050	3094
519	1052	3091
520	1054	3089
521	1056	3087
522	1058	3086
523	1060	3084
524	1062	3082
525	1064	3079
526	1066	3078
527	1068	3076
528	1070	3074
529	1072	3072
530	1074	3070
531	1077	3069
532	1079	3067
533	1081	3065
534	1083	3063
535	1085	3061
536	1087	3060
537	1090	3059
538	1092	3058
539	1094	3056
540	1096	3055
541	1098	3053
542	1101	3051
543	1103	3050
544	1105	3049
545	1108	3048
546	1110	3047
547	1112	3045
548	1115	3044
549	1117	3043
550	1119	3042
551	1122	3041
552	1124	3040
553	1130	3049
554	1134	3051
555	1137	3051
556	1142	3058
557	1145	3059
558	1148	3059
559	1151	3060
560	1154	3059
561	1156	3058
562	1159	3057
563	1161	3056
564	1163	3054
565	1166	3053
566	1168	3052
567	1171	3051
568	1174	3052
569	1176	3050
570	1178	3049
571	1181	3048
572	1184	3047
573	1188	3051
574	1195	3061
575	1199	3065
576	1215	3098
577	1218	3099
578	1224	3105
579	1227	3107
580	1231	3108
581	1243	3131
582	1245	3129
583	1247	3128
584	1250	3127
585	1252	3125
586	1255	3123
587	1257	3122
588	1259	3120
589	1261	3118
590	1264	3116
591	1266	3114
592	1268	3112
593	1270	3109
594	1272	3107
595	1274	3105
596	1277	3104
597	1279	3101
598	1281	3099
599	1283	3097
600	1285	3095
601	1288	3093
602	1290	3091
603	1292	3090
604	1294	3087
605	1296	3085
606	1298	3082
607	1300	3079
608	1302	3077
609	1305	3077
610	1307	3075
611	1309	3072
612	1311	3071
613	1314	3069
614	1316	3067
615	1318	3065
616	1320	3062
617	1322	3059
618	1324	3057
619	1326	3054
620	1328	3052
621	1330	3050
622	1332	3047
623	1334	3045
624	1336	3042
625	1338	3040
626	1340	3037
627	1342	3035
628	1344	3033
629	1346	3030
630	1348	3027
631	1350	3025
632	1352	3022
633	1354	3020
634	1356	3017
635	1358	3016
636	1360	3013
637	1362	3011
638	1364	3009
639	1367	3007
640	1369	3005
641	1371	3003
642	1373	3001
643	1375	2998
644	1377	2996
645	1379	2994
646	1381	2992
647	1383	2989
648	1386	2988
649	1400	3012
650	1402	3010
651	1405	3008
652	1407	3006
653	1409	3004
654	1411	3002
655	1413	2999
656	1416	2998
657	1418	2996
658	1420	2994
659	1423	2992
660	1425	2990
661	1427	2988
662	1429	2986
663	1431	2984
664	1434	2982
665	1436	2980
666	1438	2978
667	1440	2975
668	1442	2973
669	1444	2971
670	1446	2969
671	1449	2967
672	1451	2965
673	1453	2962
674	1455	2960
675	1457	2957
676	1459	2955
677	1461	2952
678	1463	2950
679	1465	2947
680	1467	2945
681	1469	2943
682	1471	2941
683	1473	2938
684	1475	2936
685	1478	2934
686	1480	2932
687	1482	2930
688	1484	2928
689	1487	2927
690	1489	2924
691	1491	2923
692	1493	2920
693	1496	2918
694	1498	2917
695	1500	2915
696	1503	2913
697	1505	2912
698	1508	2910
699	1510	2909
700	1512	2906
701	1515	2904
702	1517	2903
703	1519	2901
704	1522	2899
705	1524	2897
706	1526	2895
707	1529	2894
708	1531	2892
709	1533	2889
710	1535	2887
711	1537	2885
712	1540	2883
713	1542	2881
714	1544	2880
715	1547	2878
716	1549	2876
717	1551	2874
718	1554	2872
719	1556	2870
720	1558	2869
721	1560	2866
722	1563	2864
723	1565	2862
724	1567	2860
725	1570	2859
726	1572	2856
727	1574	2854
728	1576	2852
729	1578	2850
730	1581	2848
731	1583	2846
732	1585	2844
733	1587	2841
734	1589	2839
735	1592	2838
736	1594	2835
737	1596	2834
738	1598	2831
739	1600	2829
740	1602	2827
741	1605	2825
742	1607	2823
743	1609	2821
744	1613	2822
745	1616	2820
746	1618	2818
747	1620	2816
748	1622	2814
749	1625	2812
750	1627	2810
